学校名称,专业中文名称,专业原名称（官网名称）,内容
慕尼黑工业大学,科学与工程数学,Mathematics in Science and Engineering,"Mathematics in Science and Engineering 科学与工程数学
1.        官网：https://www.tum.de/en/studies/degree-programs/detail/mathematics-in-science-and-engineering-master-of-science-msc 
项目网页：https://www.cit.tum.de/en/cit/studies/degree-programs/master-mathematics-science-engineering/ 
2.        项目基本信息：
a)        学位：Master of Science
b)        学习时间：4个学期  (Full Time)
c)        授课语言：英语
d)        开始时间：夏季或冬季
e)        学费：6000欧元每个学期 (24/25WS开始)；有学期费
3.        申请时间：
a)        冬季学期：1月1日 - 5月31日
b)        夏季学期：10月1日 - 11月30日
4.        申请方式：
a)        Uni-assist申请VPD
 
非EU/EEA及瑞士的本科学位需申请VPD
Uni-assist网址：https://my.uni-assist.de/ 
 
备注：全年随时都可以申请VPD，不一定需要等到对应的申请期
 
VPD申请截止日期：
 
 
关于VPD的具体信息：https://www.tum.de/en/studies/application/application-info-portal/uni-assist 
b)        学校网申系统提交申请
除了通过Uni-assist申请VPD，还要在学校的网申系统上提交申请，VPD需要在这里上传
学校系统TUMOnline：https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/login 
网申步骤：https://www.tum.de/en/studies/application/application-info-portal/online-application/onlineapplication-bachelor-master 
5.        申请材料：
VPD的申请材料：
-        本科毕业证
-        成绩单
 
项目的申请材料：
-        学位证
-        成绩单
-        英语成绩证明/本科英语授课证明
-        成绩计算表(118ECTS)
-        简历
-        英语动机信
-        护照
-        课程描述
-        VPD
6.        授课语言：英语
 
托福最低88；雅思最低6.5；
或者由本科学校提供官方证明，具体要求如下：
 
MSE的要求：本科论文是英语或者可以证明至少10ECTS的课程是英语就可以替代语言成绩
 
7.        评分标准和匹配度情况说明：
评分标准：
根据申请者提交的文件进行评分 (Aptitude Assessment)，得分范围：0-120
总分(120) = 匹配度(50) + 成绩(60) + 动机信 (10)
a)        专业资质(0-50分)
该部分不是通过模块的示意性比较进行的，而是基于能力进行考量的：
课程        ECTS
分析        9
概率和统计导论        9
复分析        5
几何        9
最优化导论        9
微分方程数值        9
马尔可夫链        5
泛函分析        9
常微分方程        5

基于上表列出的科目组，如果相匹配的学分大于27ECTS，则认为所获得的技能（学习成果）没有显着差异，则最多可获得50分。缺失的课程内容将根据慕尼黑工业大学数学学士学位课程指定模块的学分乘以2进行扣除。


b)        成绩评分(0-60分)
根据总计 118 学分的考试成绩，优于3.0的每0.1分可获得3分，例如成绩为2.0，得30分。最高可得60分，负分将不得分。 如果申请时已获得超过140学分的学位证，则评估将基于达到118学分的最佳成绩。申请人有责任将这些内容列为申请的一部分，并以书面形式确保所提供的信息正确无误。如果缺少此信息，将使用申请人提供的总体平均成绩。总体平均成绩是列出的评分模块的加权平均数。各门课的成绩权重与分配的学分相对应。确定均分时，保留一位小数；其他小数位全部删除，不进行四舍五入。
 
c)        动机信(0-10分)
动机信的评分标准：
-        申请人具有超出第一学位所获得的知识和资格的相关资格，例如特定课程的职业培训、实习、国外居留等。
-        申请人可以有条理地展现个人兴趣与课程内容之间的联系。
两名评选委员会成员独立评估这两项标准，各标准的权重相等。分数为个人评价的算术平均值，四舍五入为总分。
 
第一阶段分数为以上三项相加
取得至少 55 分的学生算通过能力测试。
如果仅有个别科目要求未达到，委员会可要求学生参加数学学士学位课程和计算机科学辅修数学学士学位的基础考试，最多不超过 20 个学分。这些基础考试必须在第一学年通过。
得分低于 45 分者，未通过能力测试。
 
第一阶段分数为45-54分的申请人，进入能力测试的第二阶段 – 面试
选拔面试针对每位申请人单独进行。每位申请人的面试时间为20-30 分钟，面试用英语进行。
面试分数评分标准：
-        科学的、有方法的学习能力
-        第一学位的专业知识(例如，能够概述示例性问题的解决方案)
-        对特定应用领域的洞察力、动机以及课堂外的学习
 
面试分数(0-90分)：
每位评选委员会成员独立评估三个方面，权重相等。分数由每位成员的评分加权得出，小数位必须四舍五入。
第二阶段的总分=面试 (90分)+匹配度(50分) +成绩(60分)。获得90分以上的人通过测试。总分低于90分的申请人，未通过能力测试。
 
8.硕士课程：
Mathematics in Science and Engineering        每个模块的最低学分要求
Analysis        9
Numerical Analysis and Scientific Computing        9
Optimization        10
Case Studies        5
应用领域        29
Seminar        3
Internship        6
Interdisciplinary Module        4
Master’s Thesis        30
 
应用领域可选课程范围较大，但需要和student advisor商量后决定
"
慕尼黑工业大学,数学,Mathematics,"1.	官网：https://www.tum.de/en/studies/degree-programs/detail/mathematics-master-of-science-msc 
项目网页：https://www.cit.tum.de/en/cit/studies/degree-programs/master-mathematics/  
2.	项目基本信息：
a)	学位：Master of Science
b)	学习时间：4个学期  (Full Time)
c)	授课语言：英语
d)	开始时间：夏季或冬季
e)	学费：6000欧元每个学期 (24/25WS开始)；有学期费
3.	申请时间：
a)	冬季学期：1月1日 - 5月31日
b)	夏季学期：10月1日 - 11月30日
4.	申请方式：
a)	Uni-assist申请VPD
 
非EU/EEA及瑞士的本科学位需申请VPD
Uni-assist网址：https://my.uni-assist.de/ 
 
备注：全年随时都可以申请VPD，不一定需要等到对应的申请期
 
VPD申请截止日期：
 
 
关于VPD的具体信息：https://www.tum.de/en/studies/application/application-info-portal/uni-assist 
b)	学校网申系统提交申请
除了通过Uni-assist申请VPD，还要在学校的网申系统上提交申请，VPD需要在这里上传
学校系统TUMOnline：https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/login 
网申步骤：https://www.tum.de/en/studies/application/application-info-portal/online-application/onlineapplication-bachelor-master 
5.	申请材料：
VPD的申请材料：
-	本科毕业证+翻译件/公证件
-	成绩单+翻译件/公证件
-	APS
 
项目的申请材料：
-	学位证+毕业证+翻译件/公证件
-	成绩单+翻译件/公证件
-	英语成绩证明
-	英语动机信
-	课程描述
-	成绩计算表(118ECTS)
-	简历
-	护照
-	VPD
-	APS
6.	授课语言：英语
 
托福最低88；雅思最低6.5；

7.	评分标准和匹配度情况说明：
评分标准：
根据申请者提交的文件进行评分 (Aptitude Assessment)，得分范围：0-120
总分(120) = 匹配度(50) + 成绩(60) + 动机信 (10)
a)	专业资质(0-50分)
该部分不是通过模块的示意性比较进行的，而是基于能力进行考量的：
课程	ECTS
分析3	9
概率论和统计	9
复分析	5
代数	9
几何	9
最优化	9
微分方程的数值	9
马尔可夫链	5
泛函分析	9
偏微分方程	9
常微分方程	5
算法离散数学	5

基于上表列出的科目组，如果相匹配的学分大于36ECTS，则认为所获得的技能（学习成果）没有显着差异，则最多可获得50分。缺失的课程内容将根据慕尼黑工业大学数学学士学位课程指定模块的学分乘以2进行扣除。
b)	成绩评分(0-60分)
根据总计 118 学分的考试成绩，优于3.0的每0.1分可获得3分，例如成绩为2.0，得30分。最高可得60分，负分将不得分。 如果申请时已获得超过140学分的学位证，则评估将基于达到118学分的最佳成绩。申请人有责任将这些内容列为申请的一部分，并以书面形式确保所提供的信息正确无误。如果缺少此信息，将使用申请人提供的总体平均成绩。总体平均成绩是列出的评分模块的加权平均数。各门课的成绩权重与分配的学分相对应。确定均分时，保留一位小数；其他小数位全部删除，不进行四舍五入。
 
c)	动机信(0-10分)
动机信的评分标准：
-	申请人具有超出第一学位所获得的知识和资格的相关资格，例如特定课程的职业培训、实习、国外留学等。
-	申请人可以有条理地展现个人兴趣与课程内容之间的联系。
两名评选委员会成员独立评估这两项标准，各标准的权重相等。分数为个人评价的算术平均值，四舍五入为总分。
 
第一阶段分数为以上三项相加
取得至少 55 分的学生算通过能力测试。
如果仅有个别科目要求未达到，委员会可要求学生参加数学学士学位课程和计算机科学辅修数学学士学位的基础考试，最多不超过 30 个学分。这些基础考试必须在第一学年通过。
得分低于 45 分者，未通过能力测试。
 
第一阶段分数为45-54分的申请人，进入能力测试的第二阶段 – 面试
选拔面试针对每位申请人单独进行。每位申请人的面试时间为20-30 分钟，面试用英语进行。
面试分数评分标准：
-	科学的、有方法的学习能力
-	第一学位的专业知识(例如，能够概述示例性问题的解决方案)
-	学位课程可能的学科领域的洞察以及他们的具体意愿； 申请者愿意并且能够在课堂时间之外独立进行学习
 
面试分数(0-90分)：
每位评选委员会成员独立评估三个方面，权重相等。分数由每位成员的评分加权得出，小数位必须四舍五入。
第二阶段的总分=面试 (90分)+匹配度(50分) +成绩(60分)。获得90分以上的人通过测试。总分低于90分的申请人，未通过能力测试。
 
8.硕士课程：
Mathematics	TUM 学分
选修	数学模块	50
	其他模块	27
额外选修	13
硕士论文	30

 
 
 
 

注意选课要求：
选focus：
• 可以选择A1至A6 中的任意部分作为focus。
• 分配给重点的部分至少需要 30 个学分。
• 必须从 A 部分和 B 部分总共获得至少 50 个学分。
• 必须从 A、B 和 C 部分总共获得至少 77 个学分。
如果不选择focus，则适用以下规则：
• 必须从至少 4 个部分 A1 至 A6、B 和 C 中获得至少 9 个学分。
• 必须从 A 部分和 B 部分总共获得至少 50 个学分。
• 必须从 A、B 和 C 部分总共获得至少 77 个学分。
"
德累斯顿工业大学,数学,Mathematics,"1.	官网：https://tu-dresden.de/studium/vor-dem-studium/studienangebot/sins/sins_studiengang?autoid=4862 
项目官网：https://tu-dresden.de/mn/math/studieninteressierte/mathematik-master 
2.	项目基本信息：
a)	学位：Master of Science
b)	学习时间：4个学期 
c)	授课语言：英语
d)	开始时间：夏季或冬季
e)	学费：无学费
3.	申请时间：
a)	冬季学期：4月1日 - 7月15日
b)	夏季学期：10月1日 - 1月15日
 
4.	申请方式：uni-assist(仅网申)
Uni-assist 网址：https://www.uni-assist.de/en/ 
申请步骤/信息：https://tu-dresden.de/studium/vor-dem-studium/bewerbung/online-bewerbung/bewerbungsverfahren-ueber-uni-assist 
 
 
5.	申请材料：
-	申请表(uni-assist成功提交申请后会自动生成)
-	CV
-	护照
-	花名册扫描件+公证件(optional)
-	本科毕业证学位证扫描件+公证件
-	成绩单扫描件+公证件
-	语言成绩
-	APS
-	课程描述(optional)
 
 
6.	授课语言：英语B2(雅思5.5)
 
7.	入学要求：
−	数学或相关领域本科
−	语言成绩达标
 
8.	硕士课程："
汉堡大学,数学,Mathematics,"1.	官网：https://www.uni-hamburg.de/en/campuscenter/studienangebot/studiengang.html?1242152846 
2.	项目基本信息：
a)	学位：Master of Science
b)	学习时间：4个学期  (Full Time)
c)	授课语言：英语
d)	开始时间：冬季或夏季
e)	学费：无学费，有学期费
f)	录取: NC
3.	申请时间：
a)	夏季学期：12月1日-1月15日
b)	冬季学期：6月1日-7月15日
 
4.	申请方式：
通过学校网申系统STiNE提交申请，申请系统网址： www.uni-hamburg.de/online-application 
申请相关的信息总结(23SS版本-官网未更新最新版本)：https://www.uni-hamburg.de/onTEAM/studiengaenge/-mathematics.pdf- 
5.	申请材料：
-	学位证+毕业证+公证件
-	成绩单+公证件
-	简历
-	简短的个人陈述(50-500字，英语，说明喜欢数学的原因，最感兴趣的内容以及希望在课程里学到/达到什么)
-	APS
-	语言成绩
 
6.	授课语言：英语，雅思5.0
 
* 注意上图最后一句话，建议学德语
7.	入学基本要求和匹配度情况说明
a)	本科为数学或者相关专业
b)	英语成绩达标
如果申请人数超过名额，将采用以下选拔标准：
成绩50%+与数学相关的专业经历/资质30%+动机及兴趣(动机信、面试)20%
 
8.	硕士课程：
第一年主要lectures和seminars，第二年可以选择感兴趣的选修课，汉堡大学数学系的主要三个研究领域：代数、几何和离散结构、优化和偏微分方程、概率和数学统计
 
主要课程领域：
代数，微分几何，数学物理，复杂系统优化，精算和金融数学，代数几何，图论，拓扑，偏微分方程，数学统计
"
达姆施塔特工业大学,数学,Mathematics,"1.	官网：https://www.tu-darmstadt.de/studieren/studieninteressierte/studienangebot_studiengaenge/studiengang_183488.en.jsp 
2.	项目基本信息：
a)	学位：Master of Science
b)	学习时间：4个学期  (Full Time)
c)	授课语言：英语
d)	开始时间：冬季
e)	学费：无学费，有学期费
3.	申请时间：冬季申请一般会在6月1日开放申请系统，具体的截止日期会在5月公布，查看ddl的网址：https://www.tu-darmstadt.de/studieren/studieninteressierte/bewerbung_zulassung_tu/bewerbungsfristen/index.en.jsp 
建议尽早申请
 
4.	申请方式：
通过学校网申系统提交申请，申请系统网址：https://www.tucan.tu-darmstadt.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=EXTERNALPAGES&ARGUMENTS=-N000000000000001,-N000344,-Awelcome 
申请步骤：
−	在申请系统TUCaN上注册账号
−	选择想要申请的项目
−	填写信息、上传文件等
具体图文解释：https://www.tu-darmstadt.de/studieren/studieninteressierte/bewerbung_zulassung_tu/online_bewerbung/artikel_details_de_en_22720.en.jsp 
5.	申请材料：
-	高中毕业证+公证件
-	花名册+公证件
-	护照
-	学位证+毕业证+公证件
-	成绩单+公证件
-	APS
-	语言成绩
* 在网申系统提交申请后会产生一个需上传的文件list
 
6.	授课语言：英语C1
雅思：7.0
 
7.	入学基本要求和匹配度情况说明
a)	本科为数学或者相关专业
b)	英语C1
c)	额外录取要求：
i.	具备应用分析、代数、数值和随机模块的基础知识点和方法的能力。若课程内容与TUD的数学本科相匹配，则这个条件符合，模块包括：
−	分析1和2
−	线性代数1和2
−	复分析
−	常微分方程
−	数值数学
−	积分理论
−	随机
−	代数导论
ii.	具备进一步在代数、分析、逻辑、数值、优化、几何近似或者随机领域进一步研究的能力。如果能够证明一下三个模块匹配
−	代数
−	泛函分析
−	数理逻辑
−	常微方程的数值方法
−	优化
−	概率论
或者能够匹配两个模块及额外一个模块
−	微分几何
−	概率论
 
审核材料后可能会有你选择的研究领域的考官进行30分钟的面试，如果录取，该考官会成为硕士期间的导师。如果认为匹配度有偏差，可以通过完成不超过30学分的成绩来弥补，则可以发条件录取。如果匹配度差太多，会直接拒
8.	硕士课程：
必修：46学分
选修：31-36学分
跨学科选修：3-8学分
研究/论文：35学分
主要研究领域：代数、分析、几何近似、逻辑、数值分析、优化和随机
"
纽伦堡大学,计算和应用数学,Computational and Applied Mathematics,"1.	官网：https://meinstudium.fau.eu/studiengang/computational-and-applied-mathematics-msc/ 
2.	项目基本信息：
a)	学位：Master of Science
b)	学习时间：4个学期  (Full Time)
c)	授课语言：英语
d)	开始时间：冬季和夏季
e)	学费：无学费，有学期费
3.	申请时间：
a)	冬季学期：7月15截止
b)	夏季学期：1月15截止 
4.	申请方式(仅网申)：
通过学校网申系统提交申请，申请系统网址：https://www.campo.fau.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces?sessionlanguage=en&page=Applicants  
申请信息summary：https://www.fau.eu/files/2014/11/Master_degree_programmes_information_sheet.pdf 
5.	申请材料：
-	高中毕业证+公证件
-	学位证+毕业证+公证件
-	成绩单+公证件
-	APS
-	语言成绩
 
有关申请材料的信息：https://www.fau.eu/files/2015/05/FAU_supporting_documents_for_applications_for_masters_degree_programmes.pdf 
6.	授课语言：英语B2- 5.5
 
7.	入学基本要求
a)	本科为数学、工业数学或经济数学或者具备45学分与数学领域密切相关的学位
b)	英语B2
 
如果学分不足，可能会有面试，面试评分标准：
−	关于泛函分析或者微分方程的知识(35%)
−	关于数值或优化的知识(35%)
−	用英语讨论数学的能力(30%)
 

8.	硕士课程：
该硕士项目主要包括四个领域：建模与分析、数值分析与模拟、优化和高性能计算，需从中选出两个领域，该选择在申请时就需要确定
Computational and Applied Mathematics	最少学分
选择的研究领域	硕士论文和研讨会	30
	课程	35
必修模块1	-	35
必修模块2	研究领域	40
其他硕士level的课程	15

 
 "
维尔茨堡大学,国际数学 ,Mathematics International Master,"1.	官网：https://www.mathematik.uni-wuerzburg.de/studium/studiengaenge-im-ueberblick/mim/

2.	项目基本信息：
a)	学位：Master of Science
b)	学习时间：4个学期  (Full Time)
c)	授课语言：英语
d)	开始时间：冬季和夏季
e)	学费：无学费，有学期费
3.	申请时间：
a)	冬季学期：5月15截止
b)	夏季学期：11月15截止
4.	申请方式：
a)	Uni-assist申请VPD
Uni-assist网址：https://my.uni-assist.de/ 
备注：全年随时都可以申请VPD，不一定需要等到对应的申请期
b)	学校网申系统提交申请

申请材料：
-	高中毕业证+公证件
-	学位证+毕业证+公证件
-	成绩单+公证件
-	APS
-	语言成绩
-	GRE 数学科目考试成绩 - 强烈推荐
-	动机信– 推荐：一份书面声明，描述希望被您选择的 JMU 学习项目录取的原因。动机信应以英文书写，长度应为 1-2 页。它应该解释为什么你的具体能力、兴趣和职业目标使你成为预期学习项目的良好候选人，以及你为什么想在 JMU 学习。此外，您应该解释为什么您认为您能够理解预期学习计划的数学内容，以及您如何能够处理和独立回答抽象问题。可能包括与当前背景历史或与您拥有的任何特殊资格有关的其他相关信息。在你的动机信中。
-	uni-assist 提供的初步审查文件 (VPD)
5.	授课语言：英语雅思6.5，托福79
6.	入学基本要求
a)	- 以下数学领域的课程总计至少 70 ECTS 学分：分析（一个或多个变量的微分和积分）常微分方程和偏微分方程、向量分析、复分析、线性代数、代数、数论、几何、离散数学、泛函分析、数值数学、随机学、金融数学、运筹学、优化、数学建模和科学计算
b)	上述或其他数学领域的课程总计至少 10 ECTS 学分.
c)	任何数学领域或应用数学方法的科目（例如生物学、化学、地理学、计算机科学、航空航天计算机科学、物理学、经济学）的课程总计至少 30 ECTS 学分。 

同时推荐学习内容为：
抽象代数：
•	Lang：本科代数，第 3 版。2005 年 Springer
•	Artin：代数，Birkhäuser
复变函数：
•	Lars Ahlfors：复分析，第 3 版，1979 年 McGraw
•	唐·马歇尔：复杂分析，剑桥大学。2019年新闻
•	Barry Simon：基本复分析，AMS 2015
线性代数：
•	Strang：线性代数导论，SIAM 第 5 版，2016 年
•	Lang：线性代数，第三版 Springer 2004
常微分方程：
•	Hirsch、Smale、Devaney：微分方程与动力系统，第 2 版，2004 年 Elsevier
数值数学与优化：
•	Stoer, Bulirsch：数值分析导论，2002 Springer
•	Nocedal，Wright：数值优化，施普林格
高级分析：
•	Rudin：数学分析原理，McGraw-Hill 1976 年第 3 版
•	Loomis，Sternberg：高级微积分，Addison Wesley 1980
•	阿曼·埃舍尔：分析 1-3（英文）， B irkhäuser
随机指标/统计：
•	帕特里克·比林斯利：概率与测量，威利

7.	硕士课程：
Lectures and Exercises（讲座与练习）
Functional Analysis (泛函分析)
Control Theory (控制理论)
Differential Geometry (微分几何)
Lie Theory (李群理论)
Optimal Control (最优控制)
Non-linear analysis (非线性分析)
Stochastic Models of Risk Management (风险管理随机模型)
Insurance Mathematics 1 (保险数学1)
Kinetic Theory and Transport Problems (数学连续力学的动力学理论与传输问题)
Mathematics of Machine Learning (机器学习的数学)
Statistical Analysis/Mathematical Statistics (统计分析/数学统计)
Introduction to the Theory of Stochastic Processes (Giovanni Prodi Lecture) (随机过程理论导论)
Geometric Complex Analysis (几何复分析)
"
明斯特大学,数学,Mathematics,"1.	官网：https://www.uni-muenster.de/FB10/Studium/studiengaenge/idealtyp_studienverlaeufe/mscmathematics.shtml
2.	英语
3.	项目基本信息：
f)	学位：Master of Science
g)	学习时间：4个学期  (Full Time)
h)	授课语言：英语
i)	开始时间：冬季和夏季
j)	学费：无学费，有学期费
4.	申请时间：
c)	冬季学期：7月15截止
d)	夏季学期：1月15截止
5.	申请方式(仅网申)：
https://studienbewerbung.uni-muenster.de/bewerbungsportal/
6.	申请材料：
-	高中毕业证+公证件
-	学位证+毕业证+公证件
-	成绩单+公证件
-	APS
-	语言成绩雅思6.0及以上
7.	入学基本要求
d)	本科为数学相关专业同时有120ECTS相关数学学分，德国绩点高于3.0.
e)	英语B2
 
以及填写表格：https://www.uni-muenster.de/imperia/md/content/SFB878/fragebogen_bewerbung_en_2021_ausfuellbar.pdf
因为没有具体的要求，我们参考明斯特大学数学专业本科的学习内容：
数学教育的起点是三个基础模块M1-M3。这里不仅包括经典的分析和线性代数课程，还传授了逻辑的基础知识。在随后的基础扩展模块M4-M6中，还增加了数值分析、统计学和代数的入门课程。这确保了一个坚实的知识基础，从而在第四学期开始，学生可以根据个人偏好选择两个（甚至更多）不同的专业方向。
主要学习内容有八个模块：
- 微分几何学
- 函数分析
- 代数学
- 拓扑学
- 偏微分方程
- 偏微分方程数值学
- 概率论及其应用
- 逻辑学
 
8.	硕士课程：
该硕士项目主要包括：代数，应用数学，微分几何与几何分析，逻辑，数值与科学计算，算子代数与非交换几何，概率论及其应用，拓扑学。
学习内容:
选择两个专业模块和一个辅修科目，而不是三个专业模块。
拓展模块包括微分几何 I、泛函分析、高等代数、代数拓扑、数值偏微分方程 I、偏微分方程 I、概率论 I、数理统计、金融数学和逻辑 II 等课程。
除概率论 I 外，这些课程在冬季学期提供。
专业化模块通常为期一年，包括一学期的讲座和练习（类型 I）和一学期的讲座/研讨会（类型 II）。
您必须至少选择三个不同的专业（或两个专业和一个辅修科目）。"
萨尔大学,精算和金融数学,Actuarial and Financial Mathematics,"精算和金融数学
1.	官网： https://www.uni-saarland.de/en/study/programmes/master/financial-mathematics.html
2.	项目基本信息：
a)	学位：Master of Science
b)	学习时间：4个学期  (Full Time)
c)	授课语言：英语和德语
d)	开始时间：冬季和夏季
e)	学费：无学费，有学期费
3.	申请时间：
a)	冬季学期：6月1日至9月30日
b)	夏季学期：12月1日至3月31日
4.	申请方式(仅网申)：
通过学校网申系统提交申请，申请系统网址：https://apply.cs.uni-saarland.de/auth/
5.	申请材料：
-	高中毕业证+公证件
-	学位证+毕业证+公证件
-	成绩单+公证件
-	APS
-	语言成绩：英语要求C1，雅思7.0

6.	入学基本要求
推荐提交两份推荐信。
要求学习模块内容包括：数学基础知识、应用数学工具（主要是随机过程领域）、保险和金融数学知识以及经济学基础知识。

7.	硕士课程：
该硕士项目主要包括四个领域：
金融和精算数学的工具和技术（19.5 学分）
随机方法（13.5 学分）
讲座课程（跨学科）（27–30 学分）
研讨会和硕士论文（42 学分）
可自由选择的模块（15–18 学分） 
 

"
萨尔大学,数学,Mathematics,"1.	官网： https://www.uni-saarland.de/en/study/programmes/master/mathematics.html、
2.	项目基本信息：
f)	学位：Master of Science
g)	学习时间：4个学期  (Full Time)
h)	授课语言：英语和德语
i)	开始时间：冬季和夏季
j)	学费：无学费，有学期费
3.	申请时间：
c)	冬季学期：5月15日
d)	夏季学期：11月15日
4.	申请方式(仅网申)：
通过学校网申系统提交申请，申请系统网址：https://apply.cs.uni-saarland.de/auth/
5.	申请材料：
-	高中毕业证+公证件
-	学位证+毕业证+公证件
-	成绩单+公证件
-	APS
-	语言成绩：英语要求C1，雅思7.0
6.	入学基本要求
推荐提交两份推荐信。
没有明确说明需要学习的内容，但是参考本科学习内容：（必须要满足87ECTS）
线性代数1
分析学1（第1学期）
线性代数2
分析学2
编程（第2学期）
分析学3
数值计算1（第3学期）
概率论1（第4学期）

7.	硕士课程：
该硕士项目主要包括四个领域：
代数、几何和数论
分析
数学数据分析
数学教学法
数字
随机指标
与计算机科学系和马克斯普朗克信息学研究所在离散数学、复杂性理论和计算几何领域有着密切的合作
"
